No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
65,0,140119,53427,89.91387530343223,105.657508773663,0.71727848718775,0.5806278309527197
65,1,165798,27748,86.12436157929832,136.24551326725674,0.7303279160606724,0.3778531241010731
65,2,160717,32829,87.18415682833393,120.18931864414944,0.7216379564362416,0.5528200596288755
65,3,163069,30477,89.75478938922846,118.10660456245118,0.7188141003391251,0.4148910534647451
65,4,144481,49065,87.1341480843775,119.57240106049296,0.7157948366943001,0.4920179830838104
65,cumulative,774184,193546,87.98337078528685,117.99548536493663,0.7210247046522288,0.4982789534574523
