No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
1000,0,140119,53427,34.81501778944379,121.6934039523986,0.9515966792023359,0.45626691734003655
1000,1,165798,27748,37.15946919031017,178.41059246556367,0.9413242443792647,0.14309847750904048
1000,2,160717,32829,35.358164470013925,140.30367273268328,0.9463671026470458,0.4196175278374703
1000,3,163069,30477,36.380037321100616,130.158749922238,0.944754786595148,0.29467738360426965
1000,4,144481,49065,34.82247212285009,225.3071544181426,0.9468137579649848,-0.7243688246700051
1000,cumulative,774184,193546,35.7608929792884,160.58106929487943,0.9459773783218123,0.08040992428516644
