No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
105,0,140119,53427,80.67494011331198,105.40760031548368,0.7656606577076406,0.5802356821122767
105,1,165798,27748,78.35507832867384,137.7693863176574,0.7714405934640312,0.3796577483104854
105,2,160717,32829,78.8144913893833,117.55291273823318,0.7673644027623063,0.5659102937174916
105,3,163069,30477,81.51822676092458,120.58293732714593,0.7626466932858976,0.39177295157235403
105,4,144481,49065,79.33237249966757,121.67679815609056,0.7618472433664193,0.4819183015804067
105,cumulative,774184,193546,79.71897127027144,118.62120451122301,0.7659056543760883,0.4944491218258026
