No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
300,0,140119,53427,59.17970673817515,110.55009847533532,0.8675875468571616,0.5503437187776652
300,1,165798,27748,60.12514143024325,153.79980973838036,0.8604215370403465,0.30677333738041
300,2,160717,32829,58.60925145701803,122.50322586594713,0.8642950782897201,0.535407201883592
300,3,163069,30477,60.70021425344101,123.8674774102874,0.8588531886035503,0.36545337445337145
300,4,144481,49065,58.52504205345496,157.8945769100307,0.8633222026332513,0.16437556353245397
300,cumulative,774184,193546,59.461849421758906,132.87725997406034,0.8627336232017583,0.38593126686853585
