No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
750,0,140119,53427,40.1724905884841,121.58690010327544,0.9365326402899374,0.45625343255772877
750,1,165798,27748,42.43895905302176,169.62054422882247,0.9254554535157209,0.20706668125321537
750,2,160717,32829,40.69261184448186,135.69958771779335,0.9301866696516881,0.45258368118276626
750,3,163069,30477,41.7227644397181,128.33969867049197,0.9287898369580979,0.31591424789436007
750,4,144481,49065,40.00714667597387,204.00548721643807,0.9313602339177958,-0.4139100220613874
750,cumulative,774184,193546,41.06153094479099,152.82400134811166,0.9302467878085737,0.17721591447438576
