No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
5,0,140119,53427,156.8945194945985,147.08360729323266,0.30297427138936184,0.3097025318854588
5,1,165798,27748,149.05207287844493,176.70839334364402,0.3239667872581742,0.14827749590820505
5,2,160717,32829,151.79962123328679,165.3337944497879,0.2990431850563573,0.2841404693810309
5,3,163069,30477,156.24713448530684,152.40307468878422,0.30364966445319497,0.2274575064606753
5,4,144481,49065,151.1450136845003,161.86685719967616,0.3077966936058013,0.1961216345149246
5,cumulative,774184,193546,152.94796221240557,159.01165293593903,0.30769615765879577,0.24047957084461533
