No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
95,0,140119,53427,82.48071955822783,105.67962213075258,0.7571525251393793,0.5785268159718691
95,1,165798,27748,80.12898908752219,136.66418725100834,0.7626759660638549,0.37973380029364023
95,2,160717,32829,80.50592225763107,117.95474808768846,0.7574115315760821,0.5633027916692158
95,3,163069,30477,82.9860267657472,120.01899687493147,0.7548015354773736,0.3977827524410136
95,4,144481,49065,81.01568891890619,119.9129845122398,0.7521799642376303,0.49559891897769914
95,cumulative,774184,193546,81.40014329067527,118.07006611989787,0.7569659907897216,0.4979604793742637
