No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
50,0,140119,53427,95.28918329952549,106.9170845190546,0.688369523846746,0.5744172467558697
50,1,165798,27748,90.55962781592632,137.5210995021079,0.705172451680031,0.3597334424276114
50,2,160717,32829,92.06629789075578,121.67642104868783,0.6933495342102737,0.5442226358552191
50,3,163069,30477,94.72936855235504,118.25971407308003,0.6924206859407153,0.41839148166224505
50,4,144481,49065,91.85943197243365,118.9101823812074,0.6877542792726485,0.4976761937676848
50,cumulative,774184,193546,92.84926508007518,118.63453222763889,0.6937403296948252,0.49449411689846284
