No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
850,0,140119,53427,37.7654733463744,124.40934076589298,0.9436819356203032,0.4332027795367662
850,1,165798,27748,40.10767937930655,175.85440067413293,0.9327187108445454,0.16329220931851107
850,2,160717,32829,38.31795122307273,137.30776539015264,0.9377224554549572,0.43788376180593824
850,3,163069,30477,39.23234235295805,129.3113155944549,0.9365551554794451,0.3065467151317658
850,4,144481,49065,37.76277788403211,215.089510421021,0.9384848140130597,-0.5579299000935705
850,cumulative,774184,193546,38.69023681564956,157.7324779803154,0.9376258652896962,0.12409885418343855
