No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
700,0,140119,53427,41.49641089957954,121.57077190081016,0.932499165713117,0.4554655402553749
700,1,165798,27748,43.72370304096303,168.2930631525979,0.9214753059226142,0.22160380884255215
700,2,160717,32829,42.02137347934535,135.07594750496983,0.9261673128210703,0.4537647825933565
700,3,163069,30477,43.0901451246145,128.99628815688888,0.9244395360011254,0.3087025069901781
700,4,144481,49065,41.33476364772615,197.7547981710415,0.9270736463767031,-0.3149001087403567
700,cumulative,774184,193546,42.38791044379192,151.04225803562554,0.9261136933660444,0.2032468582401001
