No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
950,0,140119,53427,35.823236299076235,122.44935381836488,0.9487821023716334,0.45070415703426425
950,1,165798,27748,37.98748153110397,177.95435937019226,0.9388107707925882,0.14257942783727595
950,2,160717,32829,36.22557564506293,138.90789451047857,0.9438835520980968,0.4300735247586571
950,3,163069,30477,37.22279125139538,130.22009575685414,0.9425141849951677,0.2954469133097639
950,4,144481,49065,35.75860585170356,226.40156037654356,0.9442180675196263,-0.7651559504885943
950,cumulative,774184,193546,36.65298279151415,160.77468342099104,0.9434577525070401,0.07035489016574419
