No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
125,0,140119,53427,77.05931152723265,105.3384552145874,0.7845407452784062,0.5817203016423218
125,1,165798,27748,75.51569383633502,140.19441997725048,0.7858505014668067,0.36636879349076235
125,2,160717,32829,75.64020468724536,117.46881372903049,0.7840747427630048,0.563166692369721
125,3,163069,30477,78.26172516552023,120.89017898232865,0.779174845687479,0.38765000203620414
125,4,144481,49065,76.1736175221061,123.84297283634254,0.778312992862116,0.4654055469334847
125,cumulative,774184,193546,76.52210992413771,119.53303889126319,0.7824320174475621,0.4876530822325462
