No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
900,0,140119,53427,36.790240723702674,122.38465919564113,0.9463699374180082,0.45229278708930465
900,1,165798,27748,38.973957790825274,177.21611575068908,0.936074066880237,0.15479911798851986
900,2,160717,32829,37.21647778874795,138.43498648316063,0.9409656155986199,0.43347633678616737
900,3,163069,30477,38.16466393046326,129.68800886444615,0.9397533059162531,0.3016128031208515
900,4,144481,49065,36.760114581203965,219.53850840722038,0.9414606178292975,-0.6389557128520469
900,cumulative,774184,193546,37.63026406103147,158.7471634604348,0.940733199873543,0.1060858848632745
