No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
150,0,140119,53427,73.60575783842759,105.80549948953015,0.8024714893774989,0.5806376779180561
150,1,165798,27748,72.59514764878071,144.67350121141385,0.8006166361712824,0.33806669405625844
150,2,160717,32829,72.59108182750627,118.10330041123049,0.7989033372741747,0.5574974973165563
150,3,163069,30477,74.63692169650136,121.95013279733126,0.7969775291977018,0.3773164530171691
150,4,144481,49065,72.82754393439765,129.69183632642782,0.7959714979039683,0.4195158522228395
150,cumulative,774184,193546,73.25064962569492,122.06136075487052,0.7989632619869551,0.46907457664908675
