No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
75,0,140119,53427,86.80748139665045,104.77973318761686,0.7338987738881755,0.5854058963750317
75,1,165798,27748,83.96810342944374,136.20462034286587,0.7421315120525536,0.38045006080638344
75,2,160717,32829,84.5567290811928,119.48527525911618,0.7354794873425776,0.5550198757299317
75,3,163069,30477,86.86906696855716,118.18296877910927,0.7340160024824669,0.4152477260279863
75,4,144481,49065,84.64408896559173,118.20325164089098,0.7299594488484866,0.5079707241963711
75,cumulative,774184,193546,85.34139096815169,117.29283784222562,0.7352795538771859,0.5044436213720365
