No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
80,0,140119,53427,85.7128904102558,104.36764116278754,0.7397549940471422,0.5871242716264389
80,1,165798,27748,82.80285802715402,136.33276160072975,0.7488986770463898,0.3819371548423691
80,2,160717,32829,83.5305987590244,118.81821869527566,0.7409962376217731,0.5563835912272657
80,3,163069,30477,85.73529115561317,118.66217955747686,0.7398028603196192,0.4106937621545438
80,4,144481,49065,83.60371557316275,116.30970843155066,0.7365387395618688,0.5210330902210543
80,cumulative,774184,193546,84.24774551077734,116.6797444814967,0.7413807201515217,0.5079567643352576
