No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
400,0,140119,53427,53.11997765901261,118.75590155152615,0.8915913066725183,0.48595403252536096
400,1,165798,27748,54.61170460361728,157.5895780431805,0.8830307774203644,0.28641244098512686
400,2,160717,32829,52.60985098610523,127.01834904039046,0.888040633414048,0.5018685081338519
400,3,163069,30477,54.73201107436055,125.77745089552891,0.8832343623533451,0.348406319199575
400,4,144481,49065,52.52808669201219,166.5570916697358,0.8881099006566675,0.0672185501431094
400,cumulative,774184,193546,53.56263081856653,138.9483410563957,0.8866109302261057,0.3322349070232972
