No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
200,0,140119,53427,67.79879166127522,109.77704951539002,0.8306647203842776,0.5565042315388204
200,1,165798,27748,67.62953678811016,146.05237898205155,0.8261149646988342,0.3345650544266937
200,2,160717,32829,66.77496978895158,119.16479745232068,0.827473134405786,0.5498979247487514
200,3,163069,30477,69.10550910912227,123.34554194881338,0.8219267197782468,0.3682474652512284
200,4,144481,49065,66.58497166153157,139.2367701149972,0.8264035089745221,0.3431387573339525
200,cumulative,774184,193546,67.59871452302998,126.17483791802087,0.8263920363410036,0.4398315790937828
