No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
140,0,140119,53427,74.96158031951524,105.89495129848574,0.7946941209449978,0.5780291079774507
140,1,165798,27748,73.69540559030364,142.38869710396716,0.7949745433173742,0.3528545426552737
140,2,160717,32829,73.9215292381019,117.84238130287007,0.7926696501353144,0.5617073933080607
140,3,163069,30477,76.16231406675313,121.02991644225891,0.7897119914060977,0.384439432353175
140,4,144481,49065,74.16573487254183,128.08397731010396,0.7892097598887262,0.434362183420121
140,cumulative,774184,193546,74.57889968803593,121.16172783828122,0.7922609910195864,0.4760739158947023
