No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
60,0,140119,53427,91.60174634585165,106.93164029236303,0.708231402809707,0.5727074473442954
60,1,165798,27748,87.54403578564951,136.45580028550975,0.7225109409054624,0.37592840923812587
60,2,160717,32829,88.6897192508164,121.53070276609746,0.7126054994967406,0.5450993524734926
60,3,163069,30477,91.11315560736408,117.41129736593884,0.7113091920633448,0.4219089328225718
60,4,144481,49065,88.51998930586635,117.33628242887936,0.7075918388875893,0.513169605302423
60,cumulative,774184,193546,89.45018819414389,117.92851591107697,0.7127264553233472,0.5009742085134923
