No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
250,0,140119,53427,63.05317059216295,109.7062746834881,0.8510958578736361,0.5577328478920949
250,1,165798,27748,63.40691287160985,150.1720211391822,0.845637437648671,0.3208937544791166
250,2,160717,32829,62.28571764929709,120.9434680583809,0.8469328242175139,0.5422296982317589
250,3,163069,30477,64.56883711200986,124.02566906945484,0.8424544666665676,0.36332760681645326
250,4,144481,49065,62.28850823239883,143.2601141459853,0.8471872318128532,0.31124105987536665
250,cumulative,774184,193546,63.14615374494446,128.1746525878906,0.8465130575817118,0.4280490922188927
