No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
110,0,140119,53427,79.89726212801,104.12292706818566,0.7699700755237145,0.5879579183226532
110,1,165798,27748,77.61183859029711,139.64206589151343,0.7751505354563205,0.37102137282016956
110,2,160717,32829,77.92068573625095,117.23014872233689,0.7720755561161708,0.5682785281547735
110,3,163069,30477,80.70474908247435,121.01258335815461,0.7669897878551841,0.3874799908356116
110,4,144481,49065,78.64112712540918,121.57132354108037,0.7656899369505215,0.4787272047617731
110,cumulative,774184,193546,78.93315071419457,118.52122861637467,0.7700900795399056,0.494259362313687
