No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
70,0,140119,53427,88.32653608019967,104.96706066157469,0.7253699337927608,0.5838667290298887
70,1,165798,27748,85.13227159441284,135.95140886335204,0.736053230572123,0.38246777794783904
70,2,160717,32829,85.98573880223495,119.71288887711103,0.7281705484732383,0.5538285570622388
70,3,163069,30477,88.31152078118934,117.64988537505378,0.7263956134303295,0.4186519042065008
70,4,144481,49065,85.69345982894941,118.1174680318306,0.7230986904140548,0.5073914346830921
70,cumulative,774184,193546,86.66196202675974,117.24116436201318,0.7280314208129612,0.5044951389406146
