No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
55,0,140119,53427,93.32193980559961,106.72892601937772,0.6994063383578798,0.5743263952302782
55,1,165798,27748,89.02626593995025,136.46705893168738,0.7133915937645079,0.36838282971994496
55,2,160717,32829,90.2761667015482,120.92549929877507,0.703272124473608,0.5489709637683838
55,3,163069,30477,92.92197159245397,118.32593827248685,0.7022209506071218,0.41636078116291375
55,4,144481,49065,90.1675732526353,118.74258360895956,0.6979438357187535,0.49939144859889495
55,cumulative,774184,193546,91.09677098006323,118.27204893750027,0.7035238312073028,0.49662953406216764
