No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
115,0,140119,53427,78.95073472491957,104.85531256554626,0.7747585756326844,0.584680269187424
115,1,165798,27748,76.78945752287154,140.4884933351605,0.7795692370819778,0.3674369999883793
115,2,160717,32829,77.17117814914678,117.12682897912536,0.7757200705678011,0.5689925868123158
115,3,163069,30477,79.94995465595758,120.85281484776915,0.7708167645953649,0.38837606247497103
115,4,144481,49065,77.59750422001973,123.8693028602476,0.770960268438948,0.4634105571402142
115,cumulative,774184,193546,78.07637574387937,119.38461528015402,0.7744492902725558,0.48922007425702346
