No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
450,0,140119,53427,50.678959974244556,119.59338900181918,0.9005774225599671,0.4771969010855891
450,1,165798,27748,52.41948663072822,157.81887237919307,0.8914234373429022,0.2914748391099019
450,2,160717,32829,50.432851025170336,127.47174985876734,0.8965080006986856,0.501688164715678
450,3,163069,30477,52.078850408120765,125.96400650291858,0.8933719636223496,0.34371330389754573
450,4,144481,49065,50.143288596837294,172.93863821699134,0.897242433702129,-0.009437048149712801
450,cumulative,774184,193546,51.19551203874847,140.93643604826576,0.895632128905014,0.3103411335020727
