No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
500,0,140119,53427,48.54459097741105,120.76703749096045,0.9084658173480196,0.46655872673302
500,1,165798,27748,50.29420603116324,161.77600097977736,0.8992145247813395,0.2652937937675338
500,2,160717,32829,48.50978998775935,130.69163224594683,0.9035464882692935,0.4782947681705729
500,3,163069,30477,49.91866900409297,126.61286681572018,0.900990691563477,0.33734717084817445
500,4,144481,49065,47.93635113567111,181.08381233935765,0.9050289532047369,-0.1141826071148635
500,cumulative,774184,193546,49.08797600627592,144.54090591689769,0.9032474345457902,0.2721270619632922
