No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
650,0,140119,53427,43.00960748642813,124.5832071176035,0.9273246383246438,0.4256794411985265
650,1,165798,27748,45.17302335766815,169.5972604336453,0.9166613210414992,0.20615150660057868
650,2,160717,32829,43.55316552044331,134.9127722291824,0.9212038611663745,0.45309972157633427
650,3,163069,30477,44.54850810467968,127.83473692457353,0.9195355040475754,0.3218194204435628
650,4,144481,49065,42.693990247096316,194.77940569573332,0.92293543609166,-0.25632438661133383
650,cumulative,774184,193546,43.85100350046928,151.09593588298492,0.9213105741141883,0.20961121757860862
