No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
800,0,140119,53427,38.908957648744135,124.25136788892867,0.9402614068552454,0.43538126396718313
800,1,165798,27748,41.250055071857055,173.49594665546732,0.9291492294940037,0.18495073022103137
800,2,160717,32829,39.4561701336778,137.08029450832495,0.9338410623722907,0.44157309274605827
800,3,163069,30477,40.45889678566276,128.90548091586558,0.932848195444141,0.3105272239143084
800,4,144481,49065,38.844532553386756,210.47511887824768,0.9350315669280914,-0.4928812256773556
800,cumulative,774184,193546,39.838367766253945,156.07848469121322,0.9340113257885756,0.14554809491947726
