No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
600,0,140119,53427,44.58414104301757,121.55465796033293,0.9221480351238412,0.45677642067618407
600,1,165798,27748,46.79497816457618,164.9593031748467,0.9113447462928033,0.24557473983408984
600,2,160717,32829,44.986014401242656,134.42442060085585,0.9163726110925527,0.454453420059985
600,3,163069,30477,46.24554648147764,128.06925611030482,0.9138922229628925,0.32393066418798877
600,4,144481,49065,44.28972907040734,190.09556993393264,0.917565338063335,-0.2128416253736325
600,cumulative,774184,193546,45.436040644176444,148.36171564656473,0.9160412798913412,0.23543247361884057
