No of Trees,Fold,No of Samples in Train,No of Samples in Test fold,MAE (Train),MAE (Test),R2_score (Train),R2_score (Test)
90,0,140119,53427,83.56045367018112,105.82352546497165,0.7514133495456519,0.5783129969071754
90,1,165798,27748,81.03229571968274,136.74309499666123,0.7577782177702115,0.3756826644344514
90,2,160717,32829,81.52414250415539,118.08371505999237,0.7519113027163999,0.5630077660370832
90,3,163069,30477,83.86659728923931,119.88030916286517,0.7503661963645512,0.4007742359047435
90,4,144481,49065,81.88571734787116,119.48617167012765,0.7473046478491547,0.49819915167353856
90,cumulative,774184,193546,82.34823745502509,118.01293941512787,0.7518924661506685,0.49840084927742895
