Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
50,6,10,0,0.9457022256331543,0.9374756018217306,5166.0,44124.0,417.0,2413.0,366.0,14043.0,69.0,892.0,0.7662826229586469,0.47285403520095715
50,6,10,1,0.9541976388281591,0.8847801936200603,3808.0,48566.0,189.0,2325.0,1660.0,9490.0,408.0,1044.0,0.7481049234059948,0.6347765269106395
50,6,10,2,0.9485085034321628,0.8538730960332329,4132.0,48238.0,321.0,2522.0,726.0,9757.0,337.0,1457.0,0.7345454114699442,0.4067705674199169
50,6,10,3,0.9570813079982324,0.901881924419487,5193.0,46788.0,301.0,2030.0,681.0,11204.0,360.0,933.0,0.8024285796254952,0.47498678985975046
50,6,10,4,0.9432683848990211,0.8813908838796842,5173.0,45223.0,445.0,2586.0,421.0,11974.0,1011.0,657.0,0.7545806483418048,0.2750670988314558
50,6,10,cumulative,0.9497516121581459,0.8918803399548392,23472.0,232939.0,1673.0,11876.0,3854.0,56468.0,2185.0,4983.0,0.7624456254754923,0.4713891614789161
50,6,30,0,0.9799309286262471,0.9441119063109954,6877.0,44197.0,344.0,702.0,674.0,13837.0,275.0,584.0,0.9180021152466863,0.588020630259118
50,6,30,1,0.9840766652091532,0.8756546579907951,5532.0,48482.0,273.0,601.0,2141.0,8894.0,1004.0,563.0,0.9182992148602033,0.6548814925257546
50,6,30,2,0.983445927589517,0.876272705058239,6029.0,48270.0,289.0,625.0,1242.0,9516.0,578.0,941.0,0.9205653992695337,0.5505766424343234
50,6,30,3,0.9832265429371041,0.9031719532554258,6650.0,46751.0,338.0,573.0,897.0,11005.0,559.0,717.0,0.926416339681896,0.5306325680938735
50,6,30,4,0.978793493926292,0.8886439593258907,7027.0,45267.0,401.0,732.0,585.0,11912.0,1073.0,493.0,0.9133383708792178,0.3795187469260819
50,6,30,cumulative,0.9818947116576627,0.8975710363882692,32115.0,232967.0,1645.0,3233.0,5539.0,55164.0,3489.0,3298.0,0.9193794920410194,0.5621938872321268
50,6,50,0,0.9891212586339218,0.9435263500325309,7203.0,44350.0,191.0,376.0,719.0,13783.0,329.0,539.0,0.9558807299444605,0.5962300309921997
50,6,50,1,0.9929674974493514,0.865576892556737,5873.0,48629.0,126.0,260.0,2244.0,8664.0,1234.0,460.0,0.9643050689555642,0.6476466254022423
50,6,50,2,0.9931537862459928,0.8809155331106948,6381.0,48454.0,105.0,273.0,1287.0,9528.0,566.0,896.0,0.9674500225172259,0.569802017151843
50,6,50,3,0.991530416850788,0.905827894976476,6931.0,46921.0,168.0,292.0,964.0,10973.0,591.0,650.0,0.9630519490270405,0.5550178152875768
50,6,50,4,0.9898553166002209,0.885657398848041,7412.0,45473.0,195.0,347.0,569.0,11886.0,1099.0,509.0,0.9588677181345315,0.3646717759467678
50,6,50,cumulative,0.9913256551560551,0.8963008139048959,33800.0,233827.0,785.0,1548.0,5783.0,54834.0,3819.0,3054.0,0.9617517546739948,0.5690570374759396
50,6,70,0,0.9936684574059862,0.9455432661027977,7355.0,44435.0,106.0,224.0,769.0,13764.0,348.0,489.0,0.9744001809444595,0.6194661578333521
50,6,70,1,0.9967023757469756,0.861926678305031,6009.0,48698.0,57.0,124.0,2298.0,8564.0,1334.0,406.0,0.9833266069780865,0.6481282634875768
50,6,70,2,0.9967580098889754,0.8843365643072412,6525.0,48509.0,50.0,129.0,1330.0,9527.0,567.0,853.0,0.9846502364223637,0.5850799026687186
50,6,70,3,0.9959493297982029,0.9057520109273031,7085.0,47007.0,82.0,138.0,965.0,10971.0,593.0,649.0,0.9823869164493625,0.555008261424523
