Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
100,6,10,0,0.9430374376922261,0.905204718945177,11596.0,77323.0,788.0,4583.0,2241.0,23847.0,705.0,2027.0,0.7887582001400153,0.5819698968950355
100,6,10,1,0.9441344650877506,0.9078445614672236,11375.0,84060.0,684.0,4963.0,2592.0,17406.0,513.0,1517.0,0.7815117380512401,0.674103574291859
100,6,10,2,0.937561785756653,0.9081716315933315,11086.0,83754.0,693.0,5623.0,2111.0,17827.0,389.0,1627.0,0.7586116337016116,0.642953940641592
100,6,10,3,0.9470072551390568,0.8774193548387097,11355.0,82626.0,633.0,4626.0,2124.0,18820.0,584.0,2342.0,0.7928073075380213,0.5478309811361818
100,6,10,4,0.9480614862628268,0.8645888493834631,12276.0,79375.0,716.0,4305.0,1993.0,20865.0,1707.0,1873.0,0.8083855855804075,0.44801053287158343
100,6,10,cumulative,0.9439604859877025,0.892645823245581,57688.0,407138.0,3514.0,24100.0,11061.0,98765.0,3898.0,9386.0,0.7860230179811613,0.5729479220167101
100,6,30,0,0.972478523703468,0.9157876474670368,14548.0,77147.0,964.0,1631.0,2849.0,23544.0,1008.0,1419.0,0.9018726007684492,0.6535559183810229
100,6,30,1,0.9714291367404682,0.9065734519702198,14299.0,83895.0,849.0,2039.0,3242.0,16728.0,1191.0,867.0,0.8922786328820718,0.7020042459270007
100,6,30,2,0.9722112380877062,0.9152318484103125,14785.0,83560.0,887.0,1924.0,2672.0,17421.0,795.0,1066.0,0.8973202194177511,0.6917889244107319
100,6,30,3,0.9769850866586054,0.8798910766652702,14338.0,82618.0,641.0,1643.0,2786.0,18217.0,1187.0,1680.0,0.9132815432325805,0.5891032095143273
100,6,30,4,0.9748634558093346,0.8389817686663137,14943.0,79299.0,792.0,1638.0,2344.0,19837.0,2735.0,1522.0,0.9101765448684587,0.43511765060938784
