Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
550,6,10,0,0.940823770514082,0.8462319859794827,54219.0,291927.0,3435.0,18337.0,16173.0,59635.0,2402.0,11373.0,0.8051923685409101,0.6242240844995872
550,6,10,1,0.9341337197267646,0.9019710851475162,69329.0,269131.0,5918.0,17947.0,7453.0,78393.0,3957.0,5373.0,0.8147088963006712,0.5603454626217919
550,6,10,2,0.9289788497276772,0.878011300503558,64636.0,281783.0,5344.0,21140.0,10166.0,64112.0,6160.0,4160.0,0.7921620982214421,0.5910912401486557
550,6,10,3,0.9275011355664797,0.8543656367041198,55314.0,289773.0,4491.0,22483.0,11397.0,61600.0,1535.0,10908.0,0.770325662801442,0.596383956347132
550,6,10,4,0.9399205743002337,0.8477469231967596,60163.0,273318.0,4476.0,16840.0,13860.0,73207.0,6398.0,9239.0,0.8171890520021724,0.5452530144932908
550,6,10,cumulative,0.9342716099670474,0.8656653863062873,303661.0,1405932.0,23664.0,96747.0,59049.0,336947.0,20452.0,41053.0,0.8002715977863567,0.5811911530235558
550,6,30,0,0.973654455612392,0.8769074489579496,66884.0,291341.0,4021.0,5672.0,20779.0,57777.0,4260.0,6767.0,0.91616795771669,0.7050713517383806
550,6,30,1,0.9675981508314359,0.8908653442044213,80673.0,269912.0,5137.0,6603.0,7981.0,76808.0,5542.0,4845.0,0.9109459223630959,0.5427645358851432
550,6,30,2,0.9684958286739447,0.8439915837253836,79239.0,281916.0,5211.0,6537.0,12061.0,59339.0,10933.0,2265.0,0.910623139682821,0.5785823770041963
550,6,30,3,0.9669274661950594,0.8923689138576779,70470.0,289286.0,4978.0,7327.0,15355.0,60889.0,2246.0,6950.0,0.8990524328241001,0.7089767330002014
550,6,30,4,0.9701801311736007,0.8110784390091914,71333.0,272884.0,4910.0,5670.0,16396.0,66905.0,12700.0,6703.0,0.9119626438732682,0.5098807591170507
550,6,30,cumulative,0.9693712064972866,0.8630423459509247,368599.0,1405339.0,24257.0,31809.0,72572.0,321718.0,35681.0,27530.0,0.9098344831299227,0.6081239321587608
550,6,50,0,0.9850863507629417,0.8869316723038969,69509.0,292922.0,2440.0,3047.0,22056.0,57398.0,4639.0,5490.0,0.9527631478885953,0.7323927075049763
550,6,50,1,0.9810501621472435,0.8903084811296965,83495.0,271964.0,3085.0,3781.0,8212.0,76524.0,5826.0,4614.0,0.9480553186168997,0.5484258751818846
