Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
300,6,10,0,0.9335753519521354,0.8969000509707613,30475.0,186571.0,2696.0,12747.0,7837.0,50231.0,1197.0,5478.0,0.7684444838573107,0.6594070903438366
300,6,10,1,0.9350929614873837,0.8718723343758885,37170.0,188150.0,3210.0,12430.0,4145.0,44917.0,4418.0,2792.0,0.7930827665598894,0.46493038808128756
300,6,10,2,0.9361826529141705,0.8368127724538783,32810.0,194556.0,2485.0,13014.0,6985.0,38510.0,5144.0,3728.0,0.780874675306463,0.5103729715408679
300,6,10,3,0.9332603938730853,0.8703160755148741,29257.0,195935.0,2302.0,13802.0,7194.0,41488.0,970.0,6284.0,0.7584109079220003,0.6188721014835982
300,6,10,4,0.9390146897344781,0.7955062657402069,32272.0,184939.0,1936.0,12171.0,6351.0,46084.0,7736.0,5743.0,0.7944031183026105,0.36012062717367466
300,6,10,cumulative,0.9354252099922507,0.8542814998111219,161984.0,950151.0,12629.0,64164.0,32512.0,221230.0,19465.0,24025.0,0.7796282108791278,0.5105952208385482
300,6,30,0,0.9674737299399111,0.8998965139088395,38193.0,186734.0,2533.0,5029.0,9287.0,48975.0,2453.0,4028.0,0.8906818744970272,0.6816425170486151
300,6,30,1,0.9635831673306773,0.8737560420813193,43961.0,188224.0,3136.0,5639.0,5201.0,43967.0,5368.0,1736.0,0.8869577003103846,0.5395005468491924
300,6,30,2,0.9684021987523933,0.8546544779001968,40634.0,194557.0,2484.0,5190.0,8334.0,38131.0,5523.0,2379.0,0.8950213702385467,0.5945797170739328
300,6,30,3,0.9653703335322591,0.8895881006864989,37264.0,195676.0,2561.0,5795.0,8919.0,40841.0,1617.0,4559.0,0.8792931827115644,0.6821420678539905
300,6,30,4,0.9683033745752601,0.7782261734988015,39543.0,184443.0,2432.0,4900.0,7373.0,43923.0,9897.0,4721.0,0.896240052706368,0.3747581464000839
300,6,30,cumulative,0.9666265608261002,0.8592242616151312,199595.0,949634.0,13146.0,26553.0,39114.0,215837.0,24858.0,17423.0,0.8897200020919585,0.5620452434550465
300,6,50,0,0.9812206168894012,0.8989697727939701,40336.0,187787.0,1480.0,2886.0,10247.0,47955.0,3473.0,3068.0,0.9373626912091338,0.694351780163825
300,6,50,1,0.9778718459495352,0.8721211259596247,46067.0,189561.0,1799.0,3533.0,5106.0,43970.0,5365.0,1831.0,0.9316618939810606,0.5299218115088427
300,6,50,2,0.9814917752660943,0.8443908988908713,42765.0,195605.0,1436.0,3059.0,8619.0,37288.0,6366.0,2094.0,0.9389443937344135,0.5863855288412702
300,6,50,3,0.9786983621775744,0.8955949656750573,39710.0,196446.0,1791.0,3349.0,9496.0,40600.0,1858.0,3982.0,0.9265377208094315,0.7025946052487263
300,6,50,4,0.9802825547514676,0.7849015383681767,41365.0,185392.0,1483.0,3078.0,7713.0,44023.0,9797.0,4381.0,0.9358403282154778,0.39936748366947533
300,6,50,cumulative,0.9799130310068147,0.8591956603375399,210243.0,954791.0,7989.0,15905.0,41181.0,213836.0,26859.0,15356.0,0.9341016276131902,0.576186441813335
300,6,70,0,0.987990829673662,0.8994949260923961,41415.0,188282.0,985.0,1807.0,10465.0,47771.0,3657.0,2850.0,0.9600990184138262,0.6996321758508539
300,6,70,1,0.9863836321381142,0.8707350014216662,47374.0,190305.0,1055.0,2226.0,5298.0,43700.0,5635.0,1639.0,0.9580928696903176,0.5396903915858373
300,6,70,2,0.9887797747719926,0.8482719296632149,43963.0,196177.0,864.0,1861.0,8649.0,37469.0,6185.0,2064.0,0.9631313774697633,0.594439229558678
300,6,70,3,0.9873143359193688,0.8947010869565217,41037.0,197198.0,1039.0,2022.0,9665.0,40381.0,2077.0,3813.0,0.9564391171453773,0.7016659571230631
300,6,70,4,0.9869616718110998,0.7708681008586946,42409.0,185893.0,982.0,2034.0,7914.0,42897.0,10923.0,4180.0,0.9577216701350488,0.38674717741799863
300,6,70,cumulative,0.9874860488628474,0.8568142089984987,216198.0,957855.0,4925.0,9950.0,41991.0,212218.0,28477.0,14546.0,0.959130863399951,0.5762138304213734
300,6,90,0,0.9921759739170455,0.8944750783868526,42048.0,188622.0,645.0,1174.0,10452.0,47459.0,3969.0,2863.0,0.9740572421638606,0.6875534522368905
300,6,90,1,0.9916625166002656,0.8713214387261871,48227.0,190724.0,636.0,1373.0,5223.0,43808.0,5527.0,1714.0,0.9744006993371561,0.5359588172439467
300,6,90,2,0.9928190558540753,0.8451450328324167,44644.0,196477.0,564.0,1180.0,8614.0,37334.0,6320.0,2099.0,0.9764574401214425,0.5875290904266094
300,6,90,3,0.9915249320336847,0.895362557208238,41714.0,197537.0,700.0,1345.0,9811.0,40272.0,2186.0,3667.0,0.9709659098154152,0.7047918678458288
300,6,90,4,0.9914446778893126,0.7517219407106229,43126.0,186213.0,662.0,1317.0,8129.0,41420.0,12400.0,3965.0,0.9723257903646544,0.3692301128422342
300,6,90,cumulative,0.9919254312588768,0.8516052095728635,219759.0,959573.0,3207.0,6389.0,42229.0,210293.0,30402.0,14308.0,0.9736956765826278,0.5668356029725693
300,7,10,0,0.9460232527130316,0.8962976692460961,32877.0,187063.0,2204.0,10345.0,7976.0,50053.0,1375.0,5339.0,0.8140644200745577,0.6580091325738914
300,7,10,1,0.9491865869853917,0.8710371054876315,39335.0,189381.0,1979.0,10265.0,4769.0,44246.0,5089.0,2168.0,0.8396228735765794,0.5053543867165379
300,7,10,2,0.9510057027566755,0.8413743631246896,35805.0,195161.0,1880.0,10019.0,7067.0,38676.0,4978.0,3646.0,0.8340419646601716,0.5226145651100947
300,7,10,3,0.9449970161129898,0.8820795194508009,32099.0,195925.0,2312.0,10960.0,8342.0,40998.0,1460.0,5136.0,0.8035085356003473,0.6575737930343966
300,7,10,4,0.951737435046127,0.7905149133719696,35003.0,185151.0,1724.0,9440.0,6652.0,45454.0,8366.0,5442.0,0.8390889033358463,0.36412024649496244
300,7,10,cumulative,0.948589998722843,0.8562607141362374,175119.0,952681.0,10099.0,51029.0,34806.0,219427.0,21268.0,21731.0,0.8266687949374161,0.5289353186711604
300,7,30,0,0.9789022276322751,0.9043294255749657,39983.0,187601.0,1666.0,3239.0,9413.0,49136.0,2292.0,3902.0,0.9295464715948067,0.6956619718358404
300,7,30,1,0.9745476427622842,0.8719789593403469,45603.0,189224.0,2136.0,3997.0,5181.0,43887.0,5448.0,1756.0,0.9213178682661944,0.5345456672862635
300,7,30,2,0.9805076894571058,0.8460095278385785,42643.0,195488.0,1553.0,3181.0,8206.0,37789.0,5865.0,2507.0,0.9356837267188909,0.5736396256082671
300,7,30,3,0.9770820900470791,0.8969179061784897,39396.0,196370.0,1867.0,3663.0,9556.0,40614.0,1844.0,3922.0,0.9208473211272847,0.706613924446439
300,7,30,4,0.9787349017370027,0.7893315532360349,41110.0,185289.0,1586.0,3333.0,8036.0,43992.0,9828.0,4058.0,0.9307404050068159,0.41959988827515404
300,7,30,cumulative,0.9779549103271494,0.8617134744336831,208735.0,953972.0,8808.0,17413.0,40392.0,215418.0,25277.0,16145.0,0.9276157420938129,0.5765015222499161
300,7,50,0,0.9905931033296199,0.8984291738102961,41827.0,188475.0,792.0,1395.0,9801.0,48366.0,3062.0,3514.0,0.968790601065844,0.6853266534596829
