Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
750,6,10,0,0.9363957521009943,0.8189608021877849,71311.0,363127.0,5381.0,24128.0,26724.0,58624.0,3543.0,15324.0,0.7972089492748337,0.6252575052633293
750,6,10,1,0.9312931610227996,0.9136812434695977,98688.0,315459.0,8858.0,21696.0,11315.0,101489.0,4869.0,5788.0,0.8223123500630048,0.6303256999310807
750,6,10,2,0.9350892984650271,0.8647409531715784,94155.0,338004.0,7285.0,22714.0,14464.0,77202.0,8184.0,6154.0,0.8238946417721924,0.5848890571749655
750,6,10,3,0.9339127792788394,0.9028097264777373,90306.0,340027.0,6760.0,23692.0,14860.0,82081.0,1807.0,8629.0,0.8176403600328361,0.6976462635224143
750,6,10,4,0.9419916246652927,0.7531096337673577,83896.0,331576.0,6223.0,19362.0,21873.0,73851.0,19025.0,12356.0,0.8339206938615416,0.41228059826960994
750,6,10,cumulative,0.9357365231065907,0.8506604718148113,438356.0,1688193.0,34507.0,111592.0,89236.0,393247.0,37428.0,48251.0,0.8198600050989464,0.5784462958109499
750,6,30,0,0.9733460934115319,0.8346111404308401,88764.0,362817.0,5691.0,6675.0,30347.0,56632.0,5535.0,11701.0,0.918143413563099,0.653264331523628
750,6,30,1,0.9681246500457611,0.9101173649978536,113514.0,317012.0,7305.0,6870.0,11732.0,100632.0,5726.0,5371.0,0.9193667023659627,0.6267112919531121
750,6,30,2,0.9726565373746641,0.877787630655447,110769.0,338752.0,6537.0,6100.0,16022.0,77027.0,8359.0,4596.0,0.9277283161302944,0.6388173868069866
750,6,30,3,0.9701379168158686,0.9215940098903862,107359.0,339666.0,7121.0,6639.0,18076.0,80882.0,3006.0,5413.0,0.9199260555473018,0.7635944490229569
750,6,30,4,0.9745203000972663,0.7469887101215531,97598.0,332221.0,5578.0,5660.0,26331.0,68615.0,24261.0,7898.0,0.9289292879761013,0.4604037413013862
750,6,30,cumulative,0.9717570995490183,0.8582197712192159,518004.0,1690468.0,32232.0,31944.0,102508.0,383788.0,46887.0,34979.0,0.9230398642325045,0.6194356390320767
750,6,50,0,0.9854013497231365,0.8373362759679509,92017.0,365157.0,3351.0,3422.0,30655.0,56608.0,5559.0,11393.0,0.9553146305508495,0.6589974524255466
750,6,50,1,0.9813290278186917,0.9098095754934756,116658.0,319740.0,4577.0,3726.0,11577.0,100749.0,5609.0,5526.0,0.9528297758546549,0.6228958804720394
750,6,50,2,0.9837155258591218,0.8614391909739255,113383.0,341249.0,4040.0,3486.0,16293.0,75023.0,10363.0,4325.0,0.9569757062786769,0.6102247372930449
750,6,50,3,0.9827967490261185,0.9243972172811682,110518.0,342340.0,4447.0,3480.0,18624.0,80635.0,3253.0,4865.0,0.9539488568418125,0.7739919054075016
750,6,50,4,0.9854871365832534,0.7435506077652335,100223.0,334433.0,3366.0,3035.0,26382.0,68127.0,24749.0,7847.0,0.9595773367209043,0.4561869281650706
750,6,50,cumulative,0.9837459578020644,0.8553065734963508,532799.0,1702919.0,19781.0,17149.0,103531.0,381142.0,49533.0,33956.0,0.9557822461128765,0.6159171068172014
750,6,70,0,0.9912468450060028,0.8369812407043132,93333.0,366553.0,1955.0,2106.0,30840.0,56386.0,5781.0,11208.0,0.9731993460132196,0.6581467976637128
750,6,70,1,0.9883000038227933,0.9054681235369874,117866.0,321632.0,2685.0,2518.0,11374.0,100416.0,5942.0,5729.0,0.9703818691862405,0.6060105640479968
750,6,70,2,0.9896528892716344,0.8475151881061092,114537.0,342839.0,2450.0,2332.0,15968.0,73872.0,11514.0,4650.0,0.9726259255676877,0.5777240615909832
750,6,70,3,0.9894875050186095,0.9264367602000428,111863.0,344078.0,2709.0,2135.0,18816.0,80662.0,3226.0,4673.0,0.9718229463380224,0.7805302920107076
750,6,70,4,0.9916337344152797,0.7368710908304158,101448.0,335919.0,1880.0,1810.0,26680.0,66980.0,25896.0,7549.0,0.9766758919847869,0.4509325649411625
750,6,70,cumulative,0.990064195506864,0.8506544806755736,539047.0,1711021.0,11679.0,10901.0,103678.0,378316.0,52359.0,33809.0,0.9729305787378755,0.6069470986087202
750,6,90,0,0.9936285825751648,0.8382670440915415,93826.0,367165.0,1343.0,1613.0,31023.0,56337.0,5830.0,11025.0,0.9804840009233564,0.6608578771070481
750,6,90,1,0.9922015016831534,0.9044070597192636,118668.0,322565.0,1752.0,1716.0,11186.0,100473.0,5885.0,5917.0,0.9802513491332812,0.5991760620086897
750,6,90,2,0.992736250373249,0.8363552318780424,115128.0,343673.0,1616.0,1741.0,15734.0,72923.0,12463.0,4884.0,0.9807700682569236,0.5528442751460524
750,6,90,3,0.9931855420640863,0.9277033256656454,112513.0,345132.0,1655.0,1485.0,19006.0,80608.0,3280.0,4483.0,0.9817101898651109,0.7849470951067962
750,6,90,4,0.9942637799649479,0.7320247039848944,101979.0,336548.0,1251.0,1279.0,27177.0,65867.0,27009.0,7052.0,0.9840028122110318,0.4513346093398618
750,6,90,cumulative,0.9932031313321202,0.8477514730678773,542114.0,1715083.0,7617.0,7834.0,104126.0,376208.0,54467.0,33361.0,0.9814653219967159,0.6023497213740864
750,7,10,0,0.9538093790885597,0.8286139231396632,78112.0,364405.0,4103.0,17327.0,27663.0,58691.0,3476.0,14385.0,0.8546234785604994,0.6451977779966974
750,7,10,1,0.9522173325447886,0.8863446756465605,105920.0,317532.0,6785.0,14464.0,11302.0,98127.0,8231.0,5801.0,0.8773828166123303,0.5522800442354907
750,7,10,2,0.9562444012653681,0.8773348175540545,102033.0,339903.0,5386.0,14836.0,14322.0,78679.0,6707.0,6296.0,0.8823843897119955,0.6115098441877856
750,7,10,3,0.947129355339258,0.9084254542406661,96827.0,339596.0,7191.0,17171.0,15523.0,82021.0,1867.0,7966.0,0.8552607252674685,0.7165985981382349
750,7,10,4,0.9573139072727561,0.7246843161165966,89104.0,333126.0,4673.0,14154.0,21587.0,70524.0,22352.0,12642.0,0.8787348164873086,0.36375959109174677
750,7,10,cumulative,0.9533428751021461,0.8450806373395082,471996.0,1694562.0,28138.0,77952.0,90397.0,388042.0,42633.0,47090.0,0.8703611266000465,0.5648673236854834
750,7,30,0,0.98396799634441,0.8473060499928033,91850.0,364659.0,3849.0,3589.0,31715.0,56587.0,5580.0,10333.0,0.9509915184799078,0.6800542529421773
750,7,30,1,0.9806701581512072,0.900041308591377,116649.0,319456.0,4861.0,3735.0,11084.0,100036.0,6322.0,6019.0,0.9512081003986678,0.5843197093577289
750,7,30,2,0.984219682446263,0.8848156673333082,113530.0,341335.0,3954.0,3339.0,15907.0,77887.0,7499.0,4711.0,0.9583161665042413,0.6524161259661398
750,7,30,3,0.9821587074232017,0.9225159950454939,110570.0,341994.0,4793.0,3428.0,17800.0,81257.0,2631.0,5689.0,0.9523109214631473,0.765087821507366
750,7,30,4,0.984015671443827,0.7307973722512883,99768.0,334239.0,3560.0,3490.0,25090.0,67798.0,25078.0,9139.0,0.955437590675035,0.42018234612630573
750,7,30,cumulative,0.9830064431617818,0.8570952786428541,532367.0,1701683.0,21017.0,17581.0,101596.0,383565.0,47110.0,35891.0,0.9538111389224205,0.6133914168418821
750,7,50,0,0.9925357853375494,0.844293048025716,93731.0,366753.0,1755.0,1708.0,31550.0,56438.0,5729.0,10498.0,0.977163058502555,0.6736494369276673
750,7,50,1,0.9911648500902854,0.8888069916815836,118721.0,322051.0,2266.0,1663.0,9743.0,99990.0,6368.0,7360.0,0.9776649710725345,0.522820638545373
750,7,50,2,0.9921260694394558,0.8634013810799592,115131.0,343388.0,1901.0,1738.0,15293.0,76231.0,9155.0,5325.0,0.9791718223912471,0.5962199495243002
750,7,50,3,0.9920592033160802,0.9239967590824851,112606.0,344520.0,2267.0,1392.0,18239.0,80977.0,2911.0,5250.0,0.9787433544878279,0.7710568312417765
750,7,50,4,0.9927129600029021,0.7230557413162346,101795.0,336048.0,1751.0,1463.0,26093.0,65811.0,27065.0,8136.0,0.979701051822403,0.4234771354626028
750,7,50,cumulative,0.9921197736372545,0.8487107842371957,541984.0,1712760.0,9940.0,7964.0,100918.0,379447.0,51228.0,36569.0,0.9785545765528085,0.5949016010906634
750,7,70,0,0.9960189418187854,0.8441587103583937,94477.0,367623.0,885.0,962.0,31780.0,56194.0,5973.0,10268.0,0.9878140955847436,0.673366956034039
750,7,70,1,0.9955768032903006,0.8798567968832263,119502.0,323232.0,1085.0,882.0,10394.0,98234.0,8124.0,6709.0,0.9888043788917473,0.5140731855541595
750,7,70,2,0.9953890228017258,0.8576468812497642,115769.0,344258.0,1031.0,1100.0,14945.0,75969.0,9417.0,5673.0,0.9877948271780399,0.5781904382633477
750,7,70,3,0.9958961337717157,0.9263622563491251,113218.0,345676.0,1111.0,780.0,18679.0,80791.0,3097.0,4810.0,0.9889921033298839,0.7796463399938189
750,7,70,4,0.9962997979852944,0.7210023209157783,102466.0,336959.0,840.0,792.0,26053.0,65590.0,27286.0,8176.0,0.9896835373318256,0.4200870515003644
750,7,70,cumulative,0.9958361399335643,0.8458053931512575,545432.0,1717748.0,4952.0,4516.0,101851.0,376778.0,53897.0,35636.0,0.9886471003664375,0.5911096715713281
750,7,90,0,0.9975773094771601,0.8434678309264502,94824.0,367999.0,509.0,615.0,31883.0,56019.0,6148.0,10165.0,0.9925835440828341,0.6719365102704538
750,7,90,1,0.9974702103210922,0.886142182551575,119851.0,323725.0,592.0,533.0,10813.0,98591.0,7767.0,6290.0,0.9935940811454836,0.5402790780793868
750,7,90,2,0.9969664054284465,0.8515339043809668,116136.0,344620.0,669.0,733.0,15055.0,75211.0,10175.0,5563.0,0.9919702598617561,0.5679098104093366
750,7,90,3,0.997769024599325,0.929640425789508,113601.0,346156.0,631.0,397.0,19066.0,80756.0,3132.0,4423.0,0.9940140188532299,0.7905037258727953
750,7,90,4,0.9975989497956046,0.7155580032256795,102720.0,337278.0,521.0,538.0,26129.0,64822.0,28054.0,8100.0,0.9933041908614886,0.4137818197089143
750,7,90,cumulative,0.9974763799243258,0.845268469374836,547132.0,1719778.0,2922.0,2816.0,102946.0,375399.0,55276.0,34541.0,0.9931181937036897,0.5927874274690479
Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
750,6,5,0,0.8408331124029254,0.6595883510051336,22050.0,368052.0,456.0,73389.0,6617.0,62122.0,45.0,35431.0,0.43236578522236047,0.3141546717850449
750,6,5,1,0.8535105610286462,0.8831209855743919,57899.0,321658.0,2659.0,62485.0,3991.0,105040.0,1318.0,13112.0,0.6124520494464585,0.3762751696727287
750,6,5,2,0.8654745779581875,0.847175578280065,57345.0,342641.0,2648.0,59524.0,8415.0,81389.0,3997.0,12203.0,0.6246597535282531,0.4448129797924887
750,6,5,3,0.8454832514079235,0.8363429784777001,44554.0,345032.0,1755.0,69444.0,5999.0,83805.0,83.0,17490.0,0.5536392040358967,0.45498131854680046
750,6,5,4,0.8787458310377116,0.7540773376342395,51988.0,335589.0,2210.0,51270.0,13262.0,82585.0,10291.0,20967.0,0.6409469602608228,0.3158422624293114
750,6,5,cumulative,0.8568094667670788,0.7960610461943058,233836.0,1712972.0,9728.0,316112.0,38284.0,414941.0,15734.0,99203.0,0.5808879996847519,0.35323969446539794
750,6,20,0,0.9611615119830498,0.83395864318956,84850.0,361078.0,7430.0,10589.0,29623.0,57288.0,4879.0,12425.0,0.8798709689105438,0.6526244731444243
750,6,20,1,0.9574320723362439,0.9105142514640251,109929.0,315842.0,8475.0,10455.0,12739.0,99674.0,6684.0,4364.0,0.8916890849630832,0.6470662263072176
750,6,20,2,0.9615759112684407,0.8399683030829025,107456.0,336944.0,8345.0,9413.0,16146.0,72894.0,12492.0,4472.0,0.8980199463273094,0.567641945168115
750,6,20,3,0.9576592119969183,0.9175987408849194,103473.0,337802.0,8985.0,10525.0,17551.0,80978.0,2910.0,5938.0,0.8858167827783713,0.7499993654786077
