Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
700,6,10,0,0.9342863442431791,0.8111375366366337,68406.0,342623.0,5479.0,23431.0,24577.0,57618.0,5292.0,13846.0,0.7927066603041124,0.5911576656461572
700,6,10,1,0.9258762423189797,0.9004907142427445,89678.0,303737.0,8017.0,23479.0,9587.0,95195.0,4063.0,7516.0,0.8055116953787252,0.5717716413613068
700,6,10,2,0.9369570303006902,0.8493934742783582,88346.0,324184.0,5744.0,22013.0,12328.0,73448.0,7636.0,7573.0,0.8279612874533533,0.5246667983676068
700,6,10,3,0.9205633738722853,0.8905351896793972,80040.0,324543.0,8181.0,26731.0,14609.0,76027.0,2261.0,8880.0,0.7763006809642167,0.6719804597704053
700,6,10,4,0.9424933881309816,0.7613395576744802,79585.0,316692.0,4848.0,19331.0,18624.0,73358.0,16114.0,12720.0,0.8359091160820801,0.4010109193242776
700,6,10,cumulative,0.9320352757732232,0.8425792945023229,406055.0,1611779.0,32269.0,114985.0,79725.0,375646.0,35366.0,50535.0,0.8081914791874377,0.5495408422904352
700,6,30,0,0.9716960760469066,0.8395093404912516,84930.0,342557.0,5545.0,6907.0,29308.0,55762.0,7148.0,9115.0,0.9138906951900369,0.6562516767786376
700,6,30,1,0.963507652190694,0.9101159323140915,105059.0,304346.0,7408.0,8098.0,13020.0,92882.0,6376.0,4083.0,0.906441738221705,0.6622300080307568
700,6,30,2,0.9713005380581302,0.8389661830964995,103776.0,323875.0,6053.0,6583.0,13922.0,70801.0,10283.0,5979.0,0.9234833169887374,0.5336896520802578
700,6,30,3,0.9646799167226021,0.9252090354402271,98062.0,325910.0,6814.0,8709.0,18240.0,75925.0,2363.0,5249.0,0.9034605572952394,0.782616235818054
700,6,30,4,0.972641608158761,0.727983048602834,92767.0,316186.0,5354.0,6149.0,23965.0,63987.0,25485.0,7379.0,0.9237680380856763,0.42766143151320235
700,6,30,cumulative,0.9687651582354189,0.8483567079889808,484594.0,1612874.0,31174.0,36446.0,98455.0,359357.0,51655.0,31805.0,0.9142695540317756,0.6017253868840764
700,6,50,0,0.9840091467226139,0.8471277866045612,88058.0,344846.0,3256.0,3779.0,29926.0,55916.0,6994.0,8497.0,0.9514981506405575,0.6731430322045814
700,6,50,1,0.9783531139462146,0.9104510961576473,108419.0,307294.0,4460.0,4738.0,13586.0,92355.0,6903.0,3517.0,0.9445632817372114,0.6738160037251769
700,6,50,2,0.982534119790046,0.8362331039263257,106611.0,325986.0,3942.0,3748.0,14265.0,70182.0,10902.0,5636.0,0.9535329407998576,0.5355296121371949
700,6,50,3,0.9797836152857257,0.9310944515951541,102341.0,328269.0,4455.0,4430.0,18807.0,75957.0,2331.0,4682.0,0.9450447332638182,0.8007044750332397
700,6,50,4,0.9830136803851057,0.7276767977751292,95323.0,317991.0,3549.0,3593.0,25428.0,62487.0,26985.0,5916.0,0.9527855034984878,0.450752650170256
700,6,50,cumulative,0.9815387352259413,0.8505166472117635,500752.0,1624386.0,19662.0,20288.0,102012.0,356897.0,54115.0,28248.0,0.9494928957317296,0.6147263000832798
700,6,70,0,0.9903304776343993,0.8470192336159,89478.0,346207.0,1895.0,2359.0,30057.0,55774.0,7136.0,8366.0,0.9706795501184611,0.6732536253911466
700,6,70,1,0.9867148649952578,0.9075033731232973,110186.0,309080.0,2674.0,2971.0,13234.0,92364.0,6894.0,3869.0,0.9659762694777153,0.6593726546899192
700,6,70,2,0.9884779700513528,0.8357280784274892,107769.0,327445.0,2483.0,2590.0,14176.0,70220.0,10864.0,5725.0,0.9693181839321924,0.5327489921743415
700,6,70,3,0.9877950829929806,0.9322047220884876,104059.0,330072.0,2652.0,2712.0,19193.0,75684.0,2604.0,4296.0,0.9668138190073472,0.8050456024924629
700,6,70,4,0.9902439256426356,0.7274947026883857,96854.0,319500.0,2040.0,2062.0,25833.0,62060.0,27412.0,5511.0,0.9728844800597223,0.45715625123639086
700,6,70,cumulative,0.9887124642633254,0.8499900219887119,508346.0,1632304.0,11744.0,12694.0,102493.0,356102.0,54910.0,27767.0,0.969098016312687,0.6149014369334979
700,6,90,0,0.9937695907841769,0.8492100302961523,90347.0,346851.0,1251.0,1490.0,30098.0,55955.0,6955.0,8325.0,0.9811230016067409,0.6777627977259475
700,6,90,1,0.9914852757400962,0.9023040365758287,111328.0,309965.0,1789.0,1829.0,13030.0,91963.0,7295.0,4073.0,0.9782082846796929,0.6419508672439771
700,6,90,2,0.9920960646124005,0.8224488785463188,108526.0,328281.0,1647.0,1833.0,13916.0,69139.0,11945.0,5985.0,0.9789482101205697,0.5030241214538448
700,6,90,3,0.9916404054653637,0.9322833253092545,104954.0,330867.0,1857.0,1817.0,19307.0,75578.0,2710.0,4182.0,0.9772767815895163,0.8056982701207659
700,6,90,4,0.9934190497935574,0.7222967156667991,97453.0,320236.0,1304.0,1463.0,25867.0,61398.0,28074.0,5477.0,0.9817010142018578,0.45098737897304203
700,6,90,cumulative,0.992482077279119,0.8457085972788707,512608.0,1636200.0,7848.0,8432.0,102218.0,354033.0,56979.0,28042.0,0.9794185935371976,0.6061572661504905
700,7,10,0,0.9514478143560812,0.8200980924279356,75086.0,343493.0,4609.0,16751.0,25677.0,57426.0,5484.0,12746.0,0.8487872689018251,0.6109678074890178
700,7,10,1,0.9499283379342969,0.894801522847002,98385.0,305250.0,6504.0,14772.0,11344.0,92776.0,6482.0,5759.0,0.8699440866441585,0.5878638276508827
700,7,10,2,0.9542071421595459,0.8467198098727534,95374.0,324751.0,5177.0,14985.0,12827.0,72679.0,8405.0,7074.0,0.8760197725191601,0.5280062070956093
700,7,10,3,0.9465454669563931,0.891773190406477,88943.0,327059.0,5665.0,17828.0,14583.0,76179.0,2109.0,8906.0,0.8514445583082335,0.6757966153250787
700,7,10,4,0.9556743155050706,0.7201777910210568,83798.0,318021.0,3519.0,15118.0,21349.0,65660.0,23812.0,9995.0,0.8743970595933394,0.37596500703193714
700,7,10,cumulative,0.9515606153822777,0.834714081315045,441586.0,1618574.0,25474.0,79454.0,85780.0,364720.0,46292.0,44480.0,0.8646985462359855,0.5433410502470566
700,7,30,0,0.9834704356740366,0.8502363494616758,88335.0,344332.0,3770.0,3502.0,30165.0,55992.0,6918.0,8258.0,0.9500182021524181,0.6799955025120396
700,7,30,1,0.9779012546156725,0.898471137236703,108828.0,306693.0,5061.0,4329.0,11805.0,92742.0,6516.0,5298.0,0.9435744348174897,0.6072011816416178
700,7,30,2,0.9825681884770615,0.8342030994702183,106840.0,325772.0,4156.0,3519.0,14552.0,69690.0,11394.0,5349.0,0.9536917993478685,0.53776464296162
700,7,30,3,0.9795538060728791,0.9117384084812875,102505.0,328004.0,4720.0,4266.0,17812.0,74982.0,3306.0,5677.0,0.9444994511011201,0.7440306840790746
700,7,30,4,0.9818768194531652,0.7356227651966627,94958.0,317878.0,3662.0,3958.0,25045.0,63830.0,25642.0,6299.0,0.949582834854447,0.4551663164606446
700,7,30,cumulative,0.9810741008585631,0.8460543519693096,501466.0,1622679.0,21369.0,19574.0,99379.0,357236.0,53776.0,30881.0,0.9483216652847757,0.5998805182688783
700,7,50,0,0.9918170473633845,0.8526639890262797,90049.0,346290.0,1812.0,1788.0,30729.0,55674.0,7236.0,7694.0,0.9752315543002875,0.686357845888137
700,7,50,1,0.9899979054437282,0.8898685985854367,111119.0,309542.0,2212.0,2038.0,12064.0,91482.0,7776.0,5039.0,0.9744175743771021,0.5903735560252653
700,7,50,2,0.9904130714738341,0.8227558548299252,108221.0,327845.0,2083.0,2138.0,14630.0,68456.0,12628.0,5271.0,0.9744750207082444,0.5191856221021991
700,7,50,3,0.991490233108454,0.9187537459347397,105111.0,330644.0,2080.0,1660.0,18377.0,75131.0,3157.0,5112.0,0.9768997538996443,0.7654938138600629
700,7,50,4,0.9912214357744925,0.7211627598993511,97170.0,319595.0,1945.0,1746.0,26401.0,60727.0,28745.0,4943.0,0.9756210119146806,0.45849917067010515
700,7,50,cumulative,0.9909879386327788,0.8410409896551464,511670.0,1633916.0,10132.0,9370.0,102201.0,351470.0,59542.0,28059.0,0.9753671696125118,0.5974358030170874
700,7,70,0,0.9957221342049694,0.8513810900693752,90825.0,347232.0,870.0,1012.0,30718.0,55555.0,7355.0,7705.0,0.987043451749412,0.6837866769675279
700,7,70,1,0.9949824786837714,0.884652074148555,112111.0,310668.0,1086.0,1046.0,11834.0,91105.0,8153.0,5269.0,0.9871615718433591,0.5724565783054252
700,7,70,2,0.9948737982270656,0.8188740902114175,109192.0,328838.0,1090.0,1167.0,14441.0,68253.0,12831.0,5460.0,0.9863507768523345,0.5083499362017431
700,7,70,3,0.9955494374224962,0.9206991756487222,105842.0,331697.0,1027.0,929.0,18646.0,75060.0,3228.0,4843.0,0.987904787260081,0.771952108155578
700,7,70,4,0.9958711494187263,0.7179264335849557,98077.0,320643.0,897.0,839.0,26118.0,60619.0,28853.0,5226.0,0.9885277704018534,0.4496078497681821
700,7,70,cumulative,0.9953997995914058,0.8387065727326052,516047.0,1639078.0,4970.0,4993.0,101757.0,350592.0,60420.0,28503.0,0.9874091032518618,0.5918030561196118
700,7,90,0,0.9974769229370436,0.8537100450988325,91225.0,347604.0,498.0,612.0,30612.0,55897.0,7013.0,7811.0,0.9923591380289809,0.688111605246748
700,7,90,1,0.9974488775296474,0.8658743049647218,112612.0,311215.0,539.0,545.0,11521.0,89233.0,10025.0,5582.0,0.9934715348083023,0.5219963088876322
700,7,90,2,0.9967271348007095,0.8178541367529831,109617.0,329229.0,699.0,742.0,14519.0,68072.0,13012.0,5382.0,0.9912864012396903,0.5083514209150868
700,7,90,3,0.9976564010967133,0.9217897953368639,106265.0,332200.0,524.0,506.0,18826.0,74991.0,3297.0,4663.0,0.9936291343096837,0.7757222388325459
700,7,90,4,0.9977429267271724,0.7079443120116541,98430.0,321077.0,463.0,486.0,26159.0,59372.0,30100.0,5185.0,0.9937267964067117,0.437745327091667
700,7,90,cumulative,0.9974104526182572,0.8334345188330111,518149.0,1641325.0,2723.0,2891.0,101637.0,347565.0,63447.0,28623.0,0.9929045676197532,0.5811378575075488
Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
700,6,5,0,0.8032477229797768,0.6174888733186622,5290.0,348090.0,12.0,86547.0,1484.0,61088.0,1822.0,36939.0,0.21441585273032016,0.026383923341353966
700,6,5,1,0.855859226991064,0.883225479327266,54736.0,308928.0,2826.0,58421.0,5190.0,97583.0,1675.0,11913.0,0.6130771214406773,0.43067124254564426
700,6,5,2,0.8514832370703654,0.8331732435510224,46862.0,328035.0,1893.0,63497.0,7003.0,77135.0,3949.0,12898.0,0.5785290093335386,0.3878567039005161
700,6,5,3,0.8355021103766823,0.8251274845986815,35609.0,331590.0,1134.0,71162.0,5796.0,78183.0,105.0,17693.0,0.5114556670892025,0.44244465749060985
700,6,5,4,0.8889110870102935,0.759874519931135,54023.0,319725.0,1815.0,44893.0,15296.0,76509.0,12963.0,16048.0,0.6755647213562683,0.3552914514018694
700,6,5,cumulative,0.8470006768856365,0.7837779201453534,196520.0,1636368.0,7680.0,324520.0,34769.0,390498.0,20514.0,95491.0,0.5448308556257634,0.3063385284909292
700,6,20,0,0.9595262070423399,0.8362823561919611,80863.0,341270.0,6832.0,10974.0,28531.0,56212.0,6698.0,9892.0,0.8757802029733277,0.6480425397333858
700,6,20,1,0.9502954736403624,0.9004219626850921,100598.0,303193.0,8561.0,12559.0,12708.0,92066.0,7192.0,4395.0,0.8716162592489035,0.6306095554880696
700,6,20,2,0.9618453417884244,0.8436005347328811,100785.0,322703.0,7225.0,9574.0,13735.0,71456.0,9628.0,6166.0,0.8977980562350194,0.5390235645296044
700,6,20,3,0.9512167373917793,0.9213771284278374,93792.0,324263.0,8461.0,12979.0,17519.0,76256.0,2032.0,5970.0,0.8657941384636038,0.7699326377083195
700,6,20,4,0.962883155431246,0.7484356376638855,89626.0,315224.0,6316.0,9290.0,22127.0,68296.0,21176.0,9217.0,0.8959391399707353,0.42893447547433344
700,6,20,cumulative,0.9571533830588305,0.8500235239403315,465664.0,1606653.0,37395.0,55376.0,94620.0,364286.0,46726.0,35640.0,0.8815957578047267,0.5962863174536084
700,6,30,0,0.9716960760469066,0.8395192089447663,84930.0,342557.0,5545.0,6907.0,29309.0,55762.0,7148.0,9114.0,0.9138906951900369,0.6562740446724049
700,6,30,1,0.963507652190694,0.9097635805811225,105059.0,304346.0,7408.0,8098.0,12987.0,92874.0,6384.0,4116.0,0.906441738221705,0.6606610903791026
700,6,30,2,0.9713005380581302,0.8350745160172303,103776.0,323875.0,6053.0,6583.0,13912.0,70418.0,10666.0,5989.0,0.9234833169887374,0.5260713351170798
700,6,30,3,0.9646799167226021,0.9252090354402271,98062.0,325910.0,6814.0,8709.0,18240.0,75925.0,2363.0,5249.0,0.9034605572952394,0.782616235818054
700,6,30,4,0.972641608158761,0.7262696993775659,92767.0,316186.0,5354.0,6149.0,23721.0,64024.0,25448.0,7623.0,0.9237680380856763,0.42146320671523707
700,6,30,cumulative,0.9687651582354189,0.8471672080721824,484594.0,1612874.0,31174.0,36446.0,98169.0,359003.0,52009.0,32091.0,0.9142695540317756,0.5987228705179096
700,7,5,0,0.8553458547662289,0.6697719400392764,28858.0,347442.0,660.0,62979.0,6905.0,60965.0,1945.0,31518.0,0.5073691087147705,0.25570254829689315
700,7,5,1,0.8932811812356,0.8967781301295108,71047.0,308518.0,3236.0,42110.0,7667.0,96683.0,2575.0,9436.0,0.718626377519693,0.5278294738338966
700,7,5,2,0.8766213855962134,0.870772887062435,57530.0,328435.0,1493.0,52829.0,8071.0,79864.0,1220.0,11830.0,0.6573400764597632,0.5374487319090033
700,7,5,3,0.8657618402939737,0.8247934209104218,49483.0,331015.0,1709.0,57288.0,6535.0,77410.0,878.0,16954.0,0.612695760962832,0.4329038981176817
700,7,5,4,0.9137793253039557,0.7444047146073368,63564.0,320640.0,900.0,35352.0,15552.0,74384.0,15088.0,15792.0,0.7532183572476641,0.3299835451695957
700,7,5,cumulative,0.8809579174391942,0.8013042185497963,270482.0,1636050.0,7998.0,250558.0,44730.0,389306.0,21706.0,85530.0,0.6566487929547256,0.3785502212453623
700,7,20,0,0.974451003434567,0.8431804051987013,85558.0,343141.0,4961.0,6279.0,29361.0,56081.0,6829.0,9062.0,0.9222875302809285,0.6638441131570411
700,7,20,1,0.9684710445246181,0.8834661097790497,106293.0,305221.0,6533.0,6864.0,12530.0,90271.0,8987.0,4573.0,0.9192435800622382,0.5856134378576959
700,7,20,2,0.9744121448055473,0.8497004505619646,104639.0,324382.0,5546.0,5720.0,14255.0,71552.0,9532.0,5646.0,0.9318488321438407,0.5612668620923564
700,7,20,3,0.9682567492235407,0.9079261522740895,99603.0,325941.0,6783.0,7168.0,17177.0,75229.0,3059.0,6312.0,0.9136005754361811,0.7307420748643481
700,7,20,4,0.9736833342846813,0.7322705601907032,92087.0,317304.0,4236.0,6829.0,23477.0,64993.0,24479.0,7867.0,0.9263312216791569,0.425921370600808
700,7,20,cumulative,0.9718548552545909,0.8433087356009017,488180.0,1615989.0,28059.0,32860.0,96800.0,358126.0,52886.0,33460.0,0.9227878716318377,0.587245570483823
700,7,30,0,0.9834704356740366,0.8515981960466975,88335.0,344332.0,3770.0,3502.0,30104.0,56191.0,6719.0,8319.0,0.9500182021524181,0.6826048396209068
700,7,30,1,0.9779012546156725,0.8987547374120195,108828.0,306693.0,5061.0,4329.0,11691.0,92889.0,6369.0,5412.0,0.9435744348174897,0.6056908152160748
700,7,30,2,0.9825681884770615,0.8343318314601178,106840.0,325772.0,4156.0,3519.0,14546.0,69709.0,11375.0,5355.0,0.9536917993478685,0.5378731397199497
700,7,30,3,0.9795538060728791,0.911620503650137,102505.0,328004.0,4720.0,4266.0,17800.0,74982.0,3306.0,5689.0,0.9444994511011201,0.7436558835426579
700,7,30,4,0.9818768194531652,0.7318567077208317,94958.0,317878.0,3662.0,3958.0,25031.0,63389.0,26083.0,6313.0,0.949582834854447,0.44987808317299954
700,7,30,cumulative,0.9810741008585631,0.8456323952579607,501466.0,1622679.0,21369.0,19574.0,99172.0,357160.0,53852.0,31088.0,0.9483216652847757,0.598351903600892
