Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
500,6,10,0,0.9381912150752563,0.8414996331279626,48931.0,271648.0,3301.0,17819.0,14227.0,58025.0,2354.0,11255.0,0.7944103792147804,0.6010251730513013
500,6,10,1,0.9334568881828612,0.9103389250256761,62809.0,254501.0,5478.0,17142.0,7822.0,71951.0,3398.0,4459.0,0.8092882188707403,0.6148585127827401
500,6,10,2,0.9313254773363756,0.8988906819827948,58631.0,266274.0,4683.0,19275.0,9716.0,61024.0,3347.0,4610.0,0.7945329959804253,0.6494460521391009
500,6,10,3,0.9294374944318472,0.8516815537883642,50736.0,272672.0,3774.0,20779.0,10147.0,57646.0,1236.0,10570.0,0.773532102938693,0.587584983261269
500,6,10,4,0.9358895918164365,0.8454052812379271,55517.0,254999.0,3982.0,17289.0,11757.0,69210.0,7137.0,7669.0,0.8060476344649263,0.517094773246937
500,6,10,cumulative,0.9336601333685554,0.869563215032545,276624.0,1320094.0,21218.0,92304.0,53669.0,317856.0,17472.0,38563.0,0.7960713115281742,0.5851088980608564
500,6,30,0,0.9736815150176032,0.870756222266221,61222.0,271484.0,3465.0,5528.0,18123.0,56641.0,3738.0,7359.0,0.9154643997213463,0.6808938761588121
500,6,30,1,0.9660430088547642,0.8790596827570467,73457.0,254930.0,5049.0,6494.0,8696.0,68336.0,7013.0,3585.0,0.9050817750896575,0.556592232788814
500,6,30,2,0.9685779231388826,0.8683939667331665,71410.0,266491.0,4466.0,6496.0,11473.0,56867.0,7504.0,2853.0,0.9086992325205243,0.617257104445483
500,6,30,3,0.9676946554355229,0.8883403057827359,64580.0,272140.0,4306.0,6935.0,13778.0,56933.0,1949.0,6939.0,0.8999578879087394,0.6964091013708664
500,6,30,4,0.9690011965507992,0.7819949255009241,66832.0,254670.0,4311.0,5974.0,14380.0,60514.0,15833.0,5046.0,0.9088602438189506,0.4610911703181013
500,6,30,cumulative,0.9689996597995144,0.8577090206080189,337501.0,1319715.0,21597.0,31427.0,66450.0,299291.0,36037.0,25782.0,0.9076119600745559,0.5906223100519702
500,6,50,0,0.984998492825557,0.8779306087746473,63813.0,272760.0,2189.0,2937.0,19281.0,56099.0,4280.0,6201.0,0.9521012260801356,0.702093406854248
500,6,50,1,0.979695819727591,0.8652059796873217,75993.0,257035.0,2944.0,3958.0,8126.0,67692.0,7657.0,4155.0,0.9433457021009248,0.5059235552736213
500,6,50,2,0.980092471829916,0.8631968181760423,74027.0,267891.0,3066.0,3879.0,11793.0,56138.0,8233.0,2533.0,0.9424186491249735,0.6159768037052981
500,6,50,3,0.9817307112003931,0.8970715712508951,67872.0,273732.0,2714.0,3643.0,14189.0,57217.0,1665.0,6528.0,0.943818239485369,0.7213998398834018
500,6,50,4,0.9808280613767266,0.7923423094191474,69390.0,256036.0,2945.0,3416.0,14674.0,61211.0,15136.0,4752.0,0.9439122932019304,0.48384966505690147
500,6,50,cumulative,0.9814691113920369,0.8591494574616109,351095.0,1327454.0,13858.0,17833.0,68063.0,298357.0,36971.0,24169.0,0.945044206040414,0.5997651901685126
500,6,70,0,0.9910242640452562,0.8742036547442961,65068.0,273564.0,1385.0,1682.0,19548.0,55512.0,4867.0,5934.0,0.9714043655804426,0.6952470481102382
500,6,70,1,0.987259141587974,0.8553805774278215,77509.0,258090.0,1889.0,2442.0,7722.0,67235.0,8114.0,4559.0,0.964510033936544,0.47011273883906174
500,6,70,2,0.9875481206089497,0.8529550046380421,75399.0,269120.0,1837.0,2507.0,11871.0,55254.0,9117.0,2455.0,0.9640087690956347,0.5994566261029778
500,6,70,3,0.9888119645592466,0.8966695561502029,69319.0,274749.0,1697.0,2196.0,14342.0,57032.0,1850.0,6375.0,0.9656613021063768,0.7203561220078761
500,6,70,4,0.9882213588838622,0.7871738381380974,70598.0,257281.0,1700.0,2208.0,14849.0,60541.0,15806.0,4577.0,0.9655398412781289,0.4804209079398216
500,6,70,cumulative,0.9885729699370579,0.853276526219692,357893.0,1332804.0,8508.0,11035.0,68332.0,295574.0,39754.0,23900.0,0.9661539725200561,0.5889599845095183
500,6,90,0,0.9941820139947731,0.8692421471913907,65611.0,274100.0,849.0,1139.0,19866.0,54768.0,5611.0,5616.0,0.9814664947260276,0.6867184208004401
500,6,90,1,0.9917659518136087,0.8509985164897866,78367.0,258764.0,1215.0,1584.0,7656.0,66917.0,8432.0,4625.0,0.9770802307869503,0.45863410623733875
500,6,90,2,0.9915840888830286,0.851112494758377,76157.0,269770.0,1187.0,1749.0,11786.0,55194.0,9177.0,2540.0,0.9756870124698357,0.5936913040286576
500,6,90,3,0.9924876638473852,0.8993203432203922,70036.0,275311.0,1135.0,1479.0,14628.0,56957.0,1925.0,6089.0,0.9769596523628967,0.7280429645104743
500,6,90,4,0.9919707523200125,0.780366073945684,71285.0,257838.0,1143.0,1521.0,14884.0,59854.0,16493.0,4542.0,0.9765231691569174,0.4713502713563978
500,6,90,cumulative,0.9923980941717616,0.850207915121126,361456.0,1335783.0,5529.0,7472.0,68820.0,293690.0,41638.0,23412.0,0.977496216883865,0.5844692528337639
500,7,10,0,0.9538014451315339,0.8522728596219471,53812.0,272101.0,2848.0,12938.0,15034.0,58143.0,2236.0,10448.0,0.8483456832875551,0.6301844480373485
500,7,10,1,0.9503691936575177,0.8982426109779755,67607.0,255452.0,4527.0,12344.0,8463.0,70250.0,5099.0,3818.0,0.8590932783723729,0.5964563729634571
500,7,10,2,0.9431066063182395,0.9221952552193857,62283.0,266732.0,4225.0,15623.0,9554.0,63020.0,1351.0,4772.0,0.8310847592652292,0.7214041706185902
500,7,10,3,0.9454479093921445,0.8632520509051621,55552.0,273427.0,3019.0,15963.0,10675.0,58039.0,843.0,10042.0,0.8271307944758458,0.6248225963198655
500,7,10,4,0.9522826391630775,0.8093826026124273,60294.0,255661.0,3320.0,12512.0,12853.0,64664.0,11683.0,6573.0,0.8571666180851206,0.4685126584042678
500,7,10,cumulative,0.9490015587325026,0.8690690758673796,299548.0,1323373.0,17939.0,69380.0,56579.0,314116.0,21212.0,35653.0,0.844787092298068,0.5865822456863725
