Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
450,6,10,0,0.9398315778793778,0.8677309425804008,48523.0,247898.0,3093.0,15884.0,14325.0,56717.0,3000.0,7829.0,0.8074820528750523,0.6486670752410815
450,6,10,1,0.9376698465942408,0.8354460416380463,59353.0,238074.0,4386.0,15385.0,7354.0,59541.0,8707.0,4469.0,0.8219179600942029,0.43802878006718793
450,6,10,2,0.9307212861205337,0.9218801584681413,54212.0,247875.0,4463.0,18023.0,9676.0,57341.0,1029.0,4650.0,0.7920844225101756,0.7383878802674562
450,6,10,3,0.9306387672684688,0.8629906288197745,48660.0,252531.0,3848.0,18600.0,10613.0,52929.0,1400.0,8688.0,0.7797005888034503,0.6237966561232573
450,6,10,4,0.933840035293965,0.8300356175773306,49600.0,238273.0,2391.0,18004.0,11426.0,62448.0,7596.0,7531.0,0.7997625577059007,0.4936702588352845
450,6,10,cumulative,0.9345403026313172,0.8636166778167388,260348.0,1224651.0,18181.0,85896.0,53394.0,288976.0,21732.0,33167.0,0.8005257538167402,0.5765279803107005
450,6,30,0,0.9735064902123666,0.8765008366820974,59225.0,247817.0,3174.0,5182.0,17793.0,53967.0,5750.0,4361.0,0.9177098110180834,0.6938106866130477
450,6,30,1,0.9682469624650849,0.8365700440858738,68780.0,238346.0,4114.0,5958.0,6728.0,60257.0,7991.0,5095.0,0.9112094951985761,0.4139542514919452
450,6,30,2,0.9705982937582609,0.9069274788158909,66178.0,248852.0,3486.0,6057.0,11310.0,54620.0,3750.0,3016.0,0.9141882635494099,0.7118241074489696
450,6,30,3,0.968257842843415,0.8964552492190683,60820.0,252546.0,3833.0,6440.0,13682.0,52324.0,2005.0,5619.0,0.9024772466419824,0.7217478017329817
450,6,30,4,0.9696627609742172,0.8065639711913349,62030.0,236886.0,3778.0,5574.0,14702.0,57083.0,12961.0,4255.0,0.9106828697535397,0.5223703808201522
450,6,30,cumulative,0.970054470050669,0.864603515998853,317033.0,1224447.0,18385.0,29211.0,64215.0,278251.0,32457.0,22346.0,0.9113037469024015,0.6131924034174772
450,6,50,0,0.9840899434999588,0.8732640373270144,61587.0,248793.0,2198.0,2820.0,18452.0,53043.0,6674.0,3702.0,0.9508895145805093,0.6946516645162069
450,6,50,1,0.9809488080000505,0.8343220391902186,71237.0,239918.0,2542.0,3501.0,6728.0,60077.0,8171.0,5095.0,0.946908132493636,0.40960962481586094
450,6,50,2,0.9824107365677367,0.8731016837240013,68810.0,250054.0,2284.0,3425.0,11526.0,51945.0,6425.0,2800.0,0.9489323129691927,0.6406177163699301
450,6,50,3,0.980354654414332,0.902254515822355,63493.0,253788.0,2591.0,3767.0,14218.0,52215.0,2114.0,5083.0,0.9400067751526205,0.7385955048515421
450,6,50,4,0.9824016764633371,0.8158222941315266,64481.0,238362.0,2302.0,3123.0,15460.0,57149.0,12895.0,3497.0,0.9484092798660108,0.5548562542645598
450,6,50,cumulative,0.982041163789083,0.8597529140390232,329608.0,1230915.0,11917.0,16636.0,66384.0,274429.0,36279.0,20177.0,0.9470562972439921,0.613080832426942
450,6,70,0,0.9909416039416864,0.8733983950360934,62777.0,249764.0,1227.0,1630.0,18617.0,52889.0,6828.0,3537.0,0.9720718710196414,0.6969059180331205
450,6,70,1,0.9877426717696833,0.833223014574565,72504.0,240806.0,1654.0,2234.0,6783.0,59934.0,8314.0,5040.0,0.9658922462523474,0.40985305360093677
450,6,70,2,0.9887760226512988,0.8759354022229559,70057.0,250873.0,1465.0,2178.0,11678.0,51999.0,6371.0,2648.0,0.9674701760294478,0.650069970505376
450,6,70,3,0.9883295894499736,0.900774140975146,65079.0,254783.0,1596.0,2181.0,14184.0,52140.0,2189.0,5117.0,0.9644569034909974,0.7346111508339918
450,6,70,4,0.988652730740784,0.816282963112774,65666.0,239104.0,1560.0,1938.0,15429.0,57221.0,12823.0,3528.0,0.9668008252552837,0.5548611161961537
450,6,70,cumulative,0.9888885237106851,0.8599227831843068,336083.0,1235330.0,7502.0,10161.0,66691.0,274183.0,36525.0,19870.0,0.9673086060143075,0.6146042604878547
