Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
650,6,10,0,0.9375896837392619,0.8320527004943209,65739.0,326301.0,4689.0,21407.0,21956.0,60017.0,6181.0,10365.0,0.8033287050507416,0.6090426871050046
650,6,10,1,0.9293612049901948,0.8327534427190155,82124.0,296534.0,7198.0,21583.0,8964.0,81986.0,11470.0,6796.0,0.8088038556886599,0.4019076350954047
650,6,10,2,0.9348647696657559,0.8372563042193961,78406.0,314398.0,6208.0,21160.0,12014.0,68767.0,7815.0,7887.0,0.8144460178957492,0.5023146185760264
650,6,10,3,0.9210612683660026,0.8780685610904894,68587.0,318699.0,5801.0,27391.0,13271.0,71179.0,1509.0,10218.0,0.7663282350330722,0.6483402954603102
650,6,10,4,0.9354212714943992,0.7439704111474281,71523.0,303015.0,5909.0,19948.0,21050.0,65444.0,22820.0,6946.0,0.8108437964459024,0.4351834059178368
650,6,10,cumulative,0.931659639651123,0.82482028393413,366379.0,1558947.0,29805.0,111489.0,77255.0,347393.0,49795.0,42212.0,0.8010921713789934,0.5103946068951745
650,6,30,0,0.9741041192339335,0.8460398501811833,80803.0,326505.0,4485.0,6343.0,26436.0,56915.0,9283.0,5885.0,0.9209809826811113,0.6618598909974095
650,6,30,1,0.9658672832006754,0.8502417228244946,95935.0,297597.0,6135.0,7772.0,12114.0,80746.0,12710.0,3646.0,0.909638570498193,0.5304715785352399
650,6,30,2,0.9717449044676942,0.8238757086740669,92982.0,315318.0,5288.0,6584.0,12965.0,66525.0,10057.0,6936.0,0.9215479707626715,0.4937768502788171
650,6,30,3,0.9656700231641132,0.906952805764372,87559.0,318484.0,6016.0,8419.0,16914.0,70314.0,2374.0,6575.0,0.9018126650475902,0.7375833346637601
650,6,30,4,0.9685910163713333,0.7597798038878376,84391.0,303428.0,5496.0,7080.0,23329.0,65003.0,23261.0,4667.0,0.9104140581459039,0.4971202893661692
650,6,30,cumulative,0.9691954692875498,0.8373779782663909,441670.0,1561332.0,27420.0,36198.0,91758.0,339503.0,57685.0,27709.0,0.9129205692198737,0.5791538305747749
650,6,50,0,0.9850192281936977,0.8449943665688852,83590.0,328282.0,2708.0,3556.0,27001.0,56247.0,9951.0,5320.0,0.954452625184658,0.6643741835672322
