Decision Point,Max depth,No of Trees,Fold,Accuracy (Train),Accuracy (Test),True Positive (Train),True Negative (Train),False Positive (Train),False Negative (Train),True Positive (Test),True Negative (Test),False Positive (Test),False Negative (Test),MCC (Train),MCC (Test)
350,6,10,0,0.9341410601701658,0.8689650300247262,36687.0,207490.0,2608.0,14607.0,9038.0,52463.0,3377.0,5897.0,0.7809914128157954,0.5843663452953012
350,6,10,1,0.9325587561949364,0.8792230778785244,43312.0,206389.0,3709.0,14349.0,5378.0,51251.0,4589.0,3190.0,0.7924372672496827,0.5122293275799129
350,6,10,2,0.9323249316218236,0.884162866018904,38169.0,215098.0,2678.0,15706.0,7732.0,45774.0,2388.0,4622.0,0.7766335052864729,0.6224535793498399
350,6,10,3,0.9315696505345484,0.8771528828509803,35657.0,215905.0,3267.0,15212.0,9275.0,45219.0,1547.0,6085.0,0.7637496495701092,0.6492112800756372
350,6,10,4,0.9409172888587221,0.8639530817034785,37328.0,205264.0,1344.0,13889.0,8511.0,55717.0,3613.0,6501.0,0.8071151597693046,0.549880971037391
350,6,10,cumulative,0.9343023374760392,0.8746913876953226,191153.0,1050146.0,13606.0,73763.0,39934.0,250424.0,15514.0,26295.0,0.7843188945773732,0.583518577446955
350,6,30,0,0.9703510436432637,0.8605439773931473,46338.0,207304.0,2794.0,4956.0,11555.0,49350.0,6490.0,3380.0,0.9048111390205196,0.6155141120507582
350,6,30,1,0.9631459633476372,0.87332318966588,51267.0,206624.0,3474.0,6394.0,5906.0,50343.0,5497.0,2662.0,0.889386369678753,0.5256954838581183
350,6,30,2,0.96905956539825,0.8902439024390244,48273.0,214973.0,2803.0,5602.0,9380.0,44494.0,3668.0,2974.0,0.9012501072270033,0.6695351519870797
350,6,30,3,0.96646805485093,0.891639571194025,44805.0,216181.0,2991.0,6064.0,10778.0,44616.0,2150.0,4582.0,0.8883806587125909,0.6968498066313452
350,6,30,4,0.9686298846116552,0.7931586451803826,45724.0,204013.0,2595.0,5493.0,9634.0,49331.0,9999.0,5378.0,0.8999120753346591,0.43092137487027943
350,6,30,cumulative,0.9675309023703471,0.8617818571744917,236407.0,1049095.0,14657.0,28509.0,47253.0,238134.0,27804.0,18976.0,0.8966990672090657,0.581735242256459
350,6,50,0,0.9838939217726633,0.8611232779936419,48588.0,208594.0,1504.0,2706.0,11987.0,48959.0,6881.0,2948.0,0.9485893177478137,0.6269239870470645
350,6,50,1,0.9775805855265369,0.8569277108433735,53812.0,207944.0,2154.0,3849.0,6027.0,49166.0,6674.0,2541.0,0.9331117404359534,0.498385841886568
350,6,50,2,0.9818958884745501,0.8901612796615771,50607.0,216126.0,1650.0,3268.0,9516.0,44353.0,3809.0,2838.0,0.9425842702011044,0.6723416914408632
